512 512
8
0 0 0 0
35 51 1 -0,375
30 60 1 0,35546875
30 57 1 -1,07421875
32 51 1 -0,37890625
30 57 1 -0,12109375
28 62 1 0,875
27 62 1 0,70703125
28 60 1 -1,09375
28 60 1 0,421875
28 62 1 -0,375
28 62 1 -0,4375
28 61 1 0,40234375
28 62 1 0,265625
28 61 1 0,74609375
3 22 1 1,8984375
4 18 1 1,19140625
4 18 1 1,19140625
4 35 1 -0,21875
4 48 1 -0,015625
4 32 1 0,70703125
4 18 1 -0,83984375
4 49 1 -0,05859375
3 22 1 -0,7265625
4 49 1 0,50390625
1 6 1 -0,09765625
3 22 1 1,4921875
6 34 0 0,9453125
2 6 1 -0,1015625
7 44 0 -0,3984375
2 7 1 3,83203125
2 58 0 -3,140625
8 51 1 6,26171875
1 44 0 -3,6015625
0 44 1 -2,6328125
0 44 0 1,5390625
1 37 0 -3,19921875
0 43 1 -1,5625
0 43 1 -1,25
0 43 0 -0,625
1 38 1 -0,00390625
0 43 0 0,109375
0 43 1 -1,515625
0 44 1 2,7734375
0 43 0 -0,828125
17 52 0 -0,31640625
5 0 1 1,4140625
5 0 0 3,7421875
52 3 0 -0,21875
50 15 0 3,4765625
60 37 1 0,70703125
60 38 0 0,19921875
60 41 1 0,2109375
62 35 0 -0,890625
3 2 1 -0,6875
31 39 0 -0,03515625
4 5 1 -0,1875
32 39 0 0,75390625
39 53 1 0,265625
32 40 1 -0,05078125
38 54 1 0,390625
41 57 1 -0,1796875
44 61 1 0,140625
42 57 1 0,14453125
2 4 1 0,51953125
5 11 0 -0,08984375
42 58 1 -0,0546875
41 58 1 0,87109375
4 13 1 -0,953125
1 4 1 -0,02734375
1 3 0 -0,12890625
1 2 0 -0,359375
1 2 1 -0,203125
1 4 0 0,12890625
4 16 1 0,2109375
4 14 1 -0,37109375
4 15 1 -0,3125
4 24 1 0,34765625
4 22 1 0,0703125
5 17 1 1,18359375
5 34 0 9,96875
5 34 0 11,390625
5 34 0 11,71875
5 34 0 9,59375
5 34 0 4,40625
5 38 1 0,20703125
6 39 1 0,796875
5 34 0 6,328125
6 53 1 3,89453125
6 59 1 4,33203125
6 62 1 -1,4765625
7 27 1 -2,28125
9 24 0 -0,22265625
2 50 0 2,91015625
2 38 1 -1,28125
14 62 1 1,00390625
11 48 0 -0,5
1 44 0 -0,7265625
1 45 1 4,96484375
1 43 1 -0,66015625
14 41 1 -0,16015625
1 44 1 -2,8046875
1 44 1 -1,8671875
1 39 0 -1,65234375
0 43 1 -2,234375
1 43 0 -2,92578125
1 44 1 -0,8828125
1 43 1 -0,01953125
1 43 1 -0,11328125
1 41 0 -0,75390625
5 0 0 2,9921875
5 0 0 2,8046875
50 15 0 1,6328125
50 15 1 1,3203125
62 35 0 1,6875
61 37 0 -0,2109375
61 38 1 0,00390625
61 36 0 -0,4765625
4 2 0 0,05078125
5 4 1 -0,1171875
5 5 0 0,11328125
31 37 1 0,23828125
4 5 0 0,328125
5 5 0 0,70703125
33 41 1 -0,15625
5 6 0 0,06640625
43 56 0 -0,16015625
45 61 0 0,35546875
5 7 0 -0,4609375
39 50 1 0,1875
5 12 0 0,18359375
43 60 1 0,35546875
44 60 0 -0,203125
